,lrd,lrg,epochs,SR_val,type,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0,0.0001,0.0001,100.0,,PnL,AMZN,8.0,8.0,0.010964376851916313,0.007469470612704754,0.08863542808279272,0.14185753514572896,0.20102018139632877,-0.059028543125833347,-0.007612868877793636,0.7367941712204007,0.26320582877959925,False,False,0.009115121327340603,0.005945560522377491,1.316071953325376,1.087787263565586,0.05251351868690756,0.7748404740200547,0.22515952597994532
1,0.0001,0.0001,100.0,,PnL MSE,AMZN,8.0,8.0,0.010942992754280567,0.007465628441423178,0.9598097093366829,2.989922644838501,0.8479361719614164,0.611454874044186,0.05251580870629909,0.6411657559198543,0.3588342440801457,False,False,0.009483740665018559,0.00613632844761014,-0.8466468803638959,-0.3280825900038728,-0.01429928400832599,0.6773017319963537,0.3226982680036463
2,0.0001,0.0001,100.0,,PnL MSE STD,AMZN,8.0,8.0,0.01160522922873497,0.008021941408514977,-0.26902751138600955,-0.43964069789251775,-0.8293471027749728,0.34401638886409086,-0.006245778031872397,0.4426229508196721,0.5573770491803278,False,False,0.00975638348609209,0.006567381322383881,-0.15782196727329798,-0.11694919271673303,0.050743233659311576,0.381950774840474,0.618049225159526
3,0.0001,0.0001,100.0,,PnL MSE SR,AMZN,8.0,8.0,0.011412679217755795,0.007904519326984882,-0.4369156854609436,-2.0925236197005286,-0.9720263193341867,0.33091040192718313,-0.021042813358331195,0.6238615664845173,0.3761384335154827,False,False,0.009700167924165726,0.006464037112891674,-2.6355868083336493,-0.7378597805771684,-0.022119971672161145,0.6353691886964449,0.3646308113035551
4,0.0001,0.0001,100.0,,PnL SR,AMZN,8.0,8.0,0.014942840673029423,0.010826506651937962,-0.28066383196146794,-0.6509622897552445,-1.0522257587792967,0.4751200586494406,-0.010045686064990993,0.19672131147540983,0.8032786885245902,False,False,0.013397712260484695,0.009749488905072212,-1.2071520479491158,-0.6010231740849689,-0.01150754860592688,0.15132178669097537,0.8486782133090246
5,0.0001,0.0001,100.0,,PnL STD,AMZN,8.0,8.0,0.010651202872395515,0.007075726054608822,0.3525582595284164,1.3880691621418642,-0.4009042853244923,0.8116912614590673,0.027551997513385974,0.7477231329690346,0.2522768670309654,False,False,0.008946540765464306,0.005729840602725744,3.2214433313993207,1.1705130849819958,0.04441994062946713,0.7657247037374658,0.23427529626253418
6,0.0001,0.0001,100.0,,SR,AMZN,8.0,8.0,0.011070397682487965,0.0076093049719929695,-0.6068392081011624,-2.000025893210388,-0.9549959808312599,0.06412617840060614,-0.043241899130533806,0.8597449908925319,0.14025500910746813,False,False,0.009240694344043732,0.006144251674413681,1.9398989043314092,0.7650696841797884,0.02028244520222902,0.8896991795806746,0.11030082041932543
7,0.0001,0.0001,100.0,,SR MSE,AMZN,8.0,8.0,0.7352159023284912,0.7347465753555298,0.2037317083470048,1.975391820968826,0.6585387065004675,-0.25220196862817584,-0.030024352033932035,1.0,0.0,False,False,0.7367290258407593,0.7364099025726318,5.0847077404495575,0.6253160048492133,0.045090902573179305,1.0,0.0
8,0.0001,0.0001,100.0,,MSE,AMZN,8.0,8.0,0.029269738122820854,0.027023961767554283,-0.20591985473445532,-1.9955391945191854,-0.6592209805957341,0.24964316364938277,-0.024232655319451353,0.0,1.0,False,False,0.02877085469663143,0.027137912809848785,-5.059256541467931,-0.6223984117992201,-0.07050343894317243,0.0,1.0
9,0.0001,0.0001,100.0,,BCE,AMZN,8.0,8.0,0.013916954398155212,0.00995048601180315,-0.20774607317963048,-1.169675710992735,-0.7035972065133135,0.30189862107014587,0.00832176682458684,0.30601092896174864,0.6939890710382514,False,False,0.01216033659875393,0.00859927199780941,-3.79892028104106,-0.9638254906724723,-0.029154183276485866,0.19690063810391978,0.8030993618960802
