lrd,lrg,epochs,SR_val,type,ticker,hid_g,hid_d,RMSE,MAE,SR_w scaled,PnL_w,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0.0001,0.0001,100.0,,PnL,AMZN,8.0,8.0,0.0113104498013854,0.0076753767207264,-1.7906232793019816,-1.998733428950343,-1.996327713361476,-0.7281663840801588,-0.0947858361599607,0.6247723132969034,0.3752276867030965,False,False,0.0093043632805347,0.0060997889377176,0.0325563675095157,0.030049961059944,0.0131693961244733,0.658158614402917,0.3418413855970829
0.0001,0.0001,100.0,,PnL MSE,AMZN,8.0,8.0,0.0107046440243721,0.0071795275434851,1.0588448178104528,1.1231441583267272,0.8717667491240527,0.6881527401806845,0.0604930979935361,0.3296903460837887,0.6703096539162113,False,False,0.0091443927958607,0.0059556369669735,0.5298774954081126,0.6768804265625126,0.0116617740033095,0.2980856882406563,0.7019143117593437
0.0001,0.0001,100.0,,PnL MSE STD,AMZN,8.0,8.0,0.0107337143272161,0.0071565578691661,-0.1169186461188898,-0.1893691567022129,-0.0305329419036008,-0.1255217133386886,-0.009050034202539,0.5346083788706739,0.465391621129326,False,False,0.0090656671673059,0.0058374251239001,0.1524844049972339,0.1387863470108075,-0.0085643726371648,0.544211485870556,0.4557885141294439
0.0001,0.0001,100.0,,PnL MSE SR,AMZN,8.0,8.0,0.011225689202547,0.0077508776448667,-0.7398949763485864,-2.1795231039094687,-0.6897077320933691,-0.3791493129865225,-0.0352523902416691,0.656648451730419,0.343351548269581,False,False,0.00942078884691,0.0062821339815855,0.6541192993847993,0.2954688817148281,0.0034811381935702,0.7046490428441203,0.2953509571558796
0.0001,0.0001,100.0,,PnL SR,AMZN,8.0,8.0,0.0113326916471123,0.0078652678057551,-0.7388777716953188,-2.3649091397315427,-0.9399272655157158,-0.1765349193884995,-0.0311534111135664,0.6375227686703097,0.3624772313296903,False,False,0.0094888871535658,0.0063655506819486,0.3725853808441736,0.151588364433044,0.0154989651684091,0.6809480401093893,0.3190519598906107
0.0001,0.0001,100.0,,PnL STD,AMZN,8.0,8.0,0.0109545988962054,0.0074527589604258,-0.8244434128611978,-3.988097189051966,-0.7527727382987924,-0.4852587215917447,-0.04720397192421,0.7786885245901639,0.221311475409836,False,False,0.0091843763366341,0.0059787114150822,0.4729913872850202,0.1370332289010105,-0.0215660925959941,0.8249772105742935,0.1750227894257064
0.0001,0.0001,100.0,,SR,AMZN,8.0,8.0,0.0115520451217889,0.0079831751063466,-0.9763371076859392,-4.583607495129652,-1.6350568761618958,0.0578181954285863,-0.0522965607218279,0.1484517304189435,0.8515482695810564,False,False,0.0097640072926878,0.006754077039659,-0.9052771686637489,-0.2498463154538366,0.0166679051127005,0.0993618960802187,0.9006381039197813
0.0001,0.0001,100.0,,SR MSE,AMZN,8.0,8.0,0.4478801488876343,0.4467683136463165,0.2037317083470048,1.975391820968826,0.6585387065004675,-0.2522019686281758,-0.0256864762423392,1.0,0.0,False,False,0.4486563801765442,0.44777712225914,5.0847077404495575,0.6253160048492133,0.0014826120112321,1.0,0.0
0.0001,0.0001,100.0,,MSE,AMZN,8.0,8.0,0.0189230795949697,0.0132364174351096,-0.2423748671243256,-1.378572839476806,0.6285902076949936,-0.7695341795661395,-0.022608880006776,0.5473588342440802,0.4526411657559198,False,False,0.0164036303758621,0.0110704945400357,-1.5009052451074558,-0.3072756029312882,-0.0045747827975471,0.6226071103008204,0.3773928896991795
0.0001,0.0001,100.0,,BCE,AMZN,8.0,8.0,0.0123552735894918,0.0090014096349477,-0.5984949955168526,-2.6985938722210068,-0.7890361793628426,-0.135744502325807,-0.0204217744646303,0.1548269581056466,0.8451730418943534,False,False,0.0109794624149799,0.0081820804625749,0.6230319087957814,0.15344103196422,0.0520398867830338,0.0847766636280765,0.9152233363719234
